_genre,type,release_year,total_media,imdb_vote
european,MOVIE,2007,7,277468
western,MOVIE,1995,2,275862
thriller,MOVIE,2004,8,275349
family,MOVIE,2017,31,272094
documentation,SHOW,2019,47,271719
fantasy,MOVIE,2002,3,270334
history,MOVIE,2000,1,270231
war,MOVIE,2000,1,270231
war,MOVIE,2008,3,268572
crime,MOVIE,2022,21,267179
romance,SHOW,2016,19,264531
horror,SHOW,2020,14,261360
horror,MOVIE,2003,3,259636
sport,MOVIE,2017,10,259419
documentation,MOVIE,2019,90,257313
documentation,MOVIE,2012,5,256503
documentation,MOVIE,2015,21,256281
drama,MOVIE,1993,11,255452
western,MOVIE,2017,5,254107
crime,MOVIE,1995,3,253666
crime,MOVIE,1998,4,251013
music,MOVIE,2020,32,250260
history,SHOW,2016,9,250003
animation,MOVIE,2021,39,248340
comedy,MOVIE,1993,6,246768
family,MOVIE,2019,38,246685
western,MOVIE,2016,2,243352
animation,SHOW,2018,67,243255
comedy,MOVIE,1996,5,242328
comedy,SHOW,2012,17,240840
comedy,MOVIE,2000,4,239474
scifi,MOVIE,2004,2,237007
animation,MOVIE,2009,3,235233
romance,SHOW,2014,11,234387
action,MOVIE,2022,16,233842
european,SHOW,2010,5,232047
history,SHOW,2020,13,232040
romance,MOVIE,2001,3,231038
horror,MOVIE,1984,1,230543
documentation,MOVIE,2006,6,230425
family,MOVIE,2009,1,226225
music,MOVIE,2018,26,226171
comedy,MOVIE,2002,7,225549
history,MOVIE,2018,12,224931
animation,MOVIE,2019,32,223618
animation,SHOW,2015,24,223265
fantasy,SHOW,2014,8,222784
horror,MOVIE,2010,3,222664
romance,SHOW,2010,3,222612
european,MOVIE,2020,25,221210
documentation,MOVIE,2011,8,220079
thriller,MOVIE,2022,22,218360
sport,MOVIE,1996,1,217534
western,MOVIE,2021,3,216717
documentation,MOVIE,2018,72,216582
horror,MOVIE,2014,7,216533
drama,MOVIE,1989,4,214601
scifi,MOVIE,2002,1,214461
thriller,MOVIE,2001,4,214437
comedy,MOVIE,1989,3,214435
romance,MOVIE,1989,1,212913
horror,MOVIE,2009,5,211021
war,MOVIE,2019,10,207421
european,SHOW,2015,18,203912
history,MOVIE,2006,2,201221
family,MOVIE,2020,59,200148
sport,SHOW,2018,9,195331
animation,SHOW,2014,12,194586
horror,SHOW,2015,4,193897
animation,SHOW,2012,12,193346
scifi,MOVIE,2022,7,192519
crime,MOVIE,2004,5,192507
sport,SHOW,2006,3,190380
family,MOVIE,2018,33,190339
music,MOVIE,2013,5,190334
crime,SHOW,2005,1,189191
sport,MOVIE,2016,6,188704
romance,SHOW,2019,43,188691
fantasy,MOVIE,2004,4,187608
family,SHOW,2018,40,186370
animation,MOVIE,2013,12,185708
family,MOVIE,2013,10,185007
fantasy,MOVIE,2019,31,184794
music,MOVIE,2006,2,183732
european,MOVIE,1995,1,183638
documentation,MOVIE,2021,75,182679
music,MOVIE,2016,9,182557
fantasy,MOVIE,1993,2,182418
european,MOVIE,1999,2,181519
western,MOVIE,1998,1,181306
scifi,MOVIE,2016,10,179889
war,SHOW,2015,6,178761
horror,SHOW,2021,11,177946
horror,MOVIE,2004,2,176363
